stand,plot,tree,dbh.2014,rad.inc,species,exp
125,1,2,25.5,7,psme,75
125,1,3,35.5,8,psme,75
125,1,4,15,3,psme,75
125,1,5,31.7,7,psme,75
125,1,6,27.7,13,psme,75
125,1,7,25.5,2,psme,75
125,1,8,31.4,11,psme,75
125,1,9,27.3,10,psme,75
125,1,10,15.6,1,psme,75
125,1,11,27.2,7,psme,75
125,1,12,27.4,2,psme,75
125,1,13,31.8,15,psme,75
125,2,1,21.5,8,psme,75
125,2,2,25.8,10,psme,75
125,2,3,26.5,13,psme,75
125,2,4,17,6,psme,75
125,2,5,25.9,8,psme,75
125,2,6,21.6,10,psme,75
125,2,7,19,8,psme,75
125,2,8,18,5,psme,75
125,2,9,18.8,6,psme,75
125,2,10,25.7,12,psme,75
125,2,11,22.4,9,psme,75
125,3,1,26.3,10,psme,75
125,3,2,26.7,13,psme,75
125,3,3,18.7,9,psme,75
125,3,4,25.8,8,psme,75
125,3,5,32,18,psme,75
125,3,6,25.2,12,psme,75
125,3,7,23.6,10,psme,75
125,3,8,20.4,6,psme,75
125,3,9,29.4,11,psme,75
125,3,10,18.6,8,psme,75
125,3,11,24.2,13,psme,75
125,4,1,23.5,9,psme,75
125,4,2,25.2,8,psme,75
125,4,3,25.4,13,psme,75
125,4,4,26.5,17,psme,75
125,4,5,27.3,12,psme,75
125,4,6,31.9,20,psme,75
125,4,7,28.4,18,psme,75
125,4,8,29.8,24,psme,75
125,4,9,19.6,12,psme,75
125,5,1,27.9,13,psme,75
125,5,2,28.2,10,psme,75
125,5,3,26.7,12,psme,75
125,5,4,21.8,9,psme,75
125,5,5,34.5,28,psme,75
125,5,6,18.4,8,psme,75
125,5,7,28,17,psme,75
125,5,8,16.2,7,psme,75
125,5,9,33,25,psme,75
125,5,10,15.2,6,psme,75
125,5,11,22.6,7,psme,75
125,5,12,26.5,14,psme,75
125,5,13,23,11,psme,75
125,5,14,20.7,11,psme,75
125,5,15,19.5,5,psme,75
125,5,16,15.9,5,psme,75
125,6,1,18.9,11,psme,75
125,6,2,25.9,19,psme,75
125,6,3,23.7,16,psme,75
125,6,4,30.8,18,psme,75
125,6,5,27,11,psme,75
125,6,6,25,7,psme,75
125,6,7,28.4,14,psme,75
125,6,8,26.6,13,psme,75
125,6,9,22.7,13,psme,75
125,6,10,25.4,11,psme,75
125,6,11,23.2,15,psme,75
125,6,12,24.5,9,psme,75
48,1,1,21.5,3,psme,50
48,1,2,27.4,4,psme,50
48,1,3,28.3,6,psme,50
48,1,4,31.8,15,psme,50
48,1,5,35.3,12,psme,50
48,1,6,31,5,psme,50
48,1,7,26.1,2,psme,50
48,1,8,17.8,3,psme,50
48,1,9,19.7,5,psme,50
48,1,10,24,4,psme,50
48,1,11,29.3,5,psme,50
48,1,12,32.5,13,psme,50
48,1,13,9.8,5,acma,50
48,1,14,10.9,5,acma,50
48,1,15,35.7,10,psme,50
48,1,16,22.1,6,psme,50
48,2,1,31.7,16,psme,50
48,2,2,28.8,11,psme,50
48,2,3,21.6,2,psme,50
48,2,4,28.4,6,psme,50
48,2,5,28.8,10,psme,50
48,2,6,16.2,3,psme,50
48,2,7,16.2,3,psme,50
48,2,8,22.4,4,psme,50
48,2,9,31.5,11,psme,50
48,2,10,21,4,psme,50
48,2,11,30.6,13,psme,50
48,2,12,27,6,psme,50
48,3,1,29.5,12,psme,50
48,3,2,21.6,3,psme,50
48,3,3,21,4,psme,50
48,3,4,35.8,24,psme,50
48,3,5,28.8,11,psme,50
48,3,6,28.8,15,psme,50
48,3,7,23.4,7,psme,50
48,3,8,31.2,17,psme,50
48,3,9,24.7,11,psme,50
48,3,10,25.7,7,psme,50
48,3,11,31.3,12,psme,50
48,3,12,29.7,14,psme,50
48,3,13,39.3,16,psme,50
48,4,1,18.8,5,psme,50
48,4,2,29.3,8,psme,50
